HS2007Code 4digits,Maslow category
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
3001,1
3002,1
3003,1
3004,1
3005,1
3006,1
3101,1
3102,1
3103,1
3104,1
3105,1
3201,1
3202,1
3203,1
3204,1
3205,1
3206,1
3207,1
3208,1
3209,1
3210,1
3211,1
3212,1
3213,1
3214,1
3215,1
3301,1
3302,1
3303,1
3304,1
3305,1
3306,1
3307,1
3401,1
3402,1
3403,1
3404,1
3405,1
3406,1
3407,1
3501,1
3502,1
3503,1
3504,1
3505,1
3506,1
3507,1
3601,1
3602,1
3603,1
3604,1
3605,1
3606,1
3701,1
3702,1
3703,1
3707,1
3801,1
3802,1
3803,1
3804,1
3805,1
3806,1
3807,1
3808,1
3809,1
3810,1
3811,1
3812,1
3813,1
3814,1
3815,1
3816,1
3817,1
3818,1
3819,1
3820,1
3821,1
3822,1
3823,1
3824,1
3825,1
3901,1
3902,1
3903,1
3904,1
3905,1
3906,1
3907,1
3908,1
3909,1
3910,1
3911,1
3912,1
3913,1
3914,1
3915,1
3916,1
3917,1
3918,1
3919,1
3920,1
3921,1
3922,1
3923,1
3924,1
3925,1
3926,1
4001,1
4002,1
4004,1
4005,1
4006,1
4007,1
4008,1
4009,1
4010,1
4011,1
4012,1
4013,1
4014,1
4015,1
4016,1
4017,1
4101,1
4102,1
4103,1
4104,1
4105,1
4106,1
4107,1
4112,1
4113,1
4114,1
4115,1
4201,1
4202,1
4203,1
4205,1
4206,1
4301,1
4302,1
4303,1
4304,1
4401,1
4402,1
4403,1
4404,1
4405,1
4406,1
4407,1
4408,1
4409,1
4410,1
4411,1
4412,1
4413,1
4414,1
4415,1
4416,1
4417,1
4418,1
4419,1
4420,1
4421,1
4501,1
4502,1
4503,1
4504,1
4601,1
4602,1
4701,1
4702,1
4703,1
4704,1
4705,1
4706,1
4707,1
4801,1
4802,1
4803,1
4804,1
4805,1
4806,1
4807,1
4808,1
4809,1
4810,1
4811,1
4812,1
4813,1
4814,1
4816,1
4817,1
4818,1
4819,1
4820,1
4821,1
4822,1
4823,1
4905,1
5001,1
5002,1
5003,1
5004,1
5005,1
5006,1
5007,1
5101,1
5102,1
5103,1
5104,1
5105,1
5106,1
5107,1
5108,1
5109,1
5110,1
5111,1
5112,1
5113,1
5201,1
5202,1
5203,1
5204,1
5205,1
5206,1
5207,1
5208,1
5209,1
5210,1
5211,1
5212,1
5301,1
5302,1
5303,1
5305,1
5306,1
5307,1
5308,1
5309,1
5310,1
5311,1
5401,1
5402,1
5403,1
5404,1
5405,1
5406,1
5407,1
5408,1
5501,1
5502,1
5503,1
5504,1
5505,1
5506,1
5507,1
5508,1
5509,1
5510,1
5511,1
5512,1
5513,1
5514,1
5515,1
5516,1
5601,1
5602,1
5603,1
5604,1
5605,1
5606,1
5607,1
5608,1
5609,1
5701,1
5702,1
5703,1
5704,1
5705,1
5801,1
5802,1
5803,1
5804,1
5805,1
5806,1
5807,1
5808,1
5809,1
5810,1
5811,1
5901,1
5902,1
5903,1
5904,1
5905,1
5906,1
5907,1
5908,1
5909,1
5910,1
5911,1
6001,1
6002,1
6003,1
6004,1
6005,1
6006,1
6101,1
6102,1
6103,1
6104,1
6105,1
6106,1
6107,1
6108,1
6109,1
6110,1
6111,1
6112,1
6113,1
6114,1
6115,1
6116,1
6117,1
6201,1
6202,1
6203,1
6204,1
6205,1
6206,1
6207,1
6208,1
6209,1
6210,1
6211,1
6212,1
6213,1
6214,1
6215,1
6216,1
6217,1
6301,1
6302,1
6303,1
6304,1
6305,1
6306,1
6307,1
6308,1
6309,1
6310,1
6401,1
6402,1
6403,1
6404,1
6405,1
6406,1
6501,1
6502,1
6504,1
6505,1
6506,1
6507,1
6601,1
6602,1
6603,1
6701,1
6702,1
6703,1
6704,1
6801,1
6802,1
6803,1
6804,1
6805,1
6806,1
6807,1
6808,1
6809,1
6810,1
6811,1
6812,1
6813,1
6814,1
6815,1
6901,1
6902,1
6903,1
6904,1
6905,1
6906,1
6907,1
6908,1
6909,1
6910,1
6911,1
6912,1
6913,1
6914,1
7001,1
7002,1
7003,1
7004,1
7005,1
7006,1
7007,1
7008,1
7009,1
7010,1
7011,1
7013,1
7014,1
7015,1
7016,1
7017,1
7018,1
7019,1
7020,1
7101,1
7102,1
7103,1
7104,1
7105,1
7106,1
7107,1
7108,1
7109,1
7110,1
7111,1
7112,1
7113,1
7114,1
7115,1
7116,1
7117,1
7118,1
7201,1
7202,1
7203,1
7204,1
7205,1
7206,1
7207,1
7208,1
7209,1
7210,1
7211,1
7212,1
7213,1
7214,1
7215,1
7216,1
7217,1
7218,1
7219,1
7220,1
7221,1
7222,1
7223,1
7224,1
7225,1
7226,1
7227,1
7228,1
7229,1
7301,1
7302,1
7303,1
7304,1
7305,1
7306,1
7307,1
7308,1
7309,1
7310,1
7311,1
7312,1
7313,1
7314,1
7315,1
7316,1
7317,1
7318,1
7319,1
7320,1
7321,1
7322,1
7323,1
7324,1
7325,1
7326,1
7401,1
7402,1
7403,1
7404,1
7405,1
7406,1
7407,1
7408,1
7409,1
7410,1
7411,1
7412,1
7413,1
7415,1
7418,1
7419,1
7501,1
7502,1
7503,1
7504,1
7505,1
7506,1
7507,1
7508,1
7601,1
7602,1
7603,1
7604,1
7605,1
7606,1
7607,1
7608,1
7609,1
7610,1
7611,1
7612,1
7613,1
7614,1
7615,1
7616,1
7801,1
7802,1
7804,1
7806,1
7901,1
7902,1
7903,1
7904,1
7905,1
7907,1
8001,1
8002,1
8003,1
8007,1
8101,1
8102,1
8103,1
8104,1
8105,1
8106,1
8107,1
8108,1
8109,1
8110,1
8111,1
8112,1
8113,1
8201,1
8202,1
8203,1
8204,1
8205,1
8206,1
8207,1
8208,1
8209,1
8210,1
8211,1
8212,1
8213,1
8214,1
8215,1
8301,1
8302,1
8303,1
8304,1
8305,1
8306,1
8307,1
8308,1
8309,1
8310,1
8311,1
8401,1
8402,1
8403,1
8404,1
8405,1
8406,1
8407,1
8408,1
8410,1
8411,1
8412,1
8413,1
8414,1
8415,1
8416,1
8417,1
8418,1
8419,1
8420,1
8421,1
8422,1
8423,1
8424,1
8425,1
8426,1
8427,1
8428,1
8429,1
8430,1
8431,1
8432,1
8433,1
8434,1
8435,1
8436,1
8437,1
8438,1
8439,1
8440,1
8441,1
8442,1
8443,1
8444,1
8445,1
8446,1
8447,1
8448,1
8449,1
8450,1
8451,1
8452,1
8453,1
8454,1
8455,1
8456,1
8457,1
8458,1
8459,1
8460,1
8461,1
8462,1
8463,1
8464,1
8465,1
8466,1
8467,1
8468,1
8469,1
8470,1
8472,1
8473,1
8474,1
8475,1
8476,1
8477,1
8478,1
8479,1
8480,1
8481,1
8482,1
8483,1
8484,1
8486,1
8487,1
8501,1
8502,1
8503,1
8504,1
8505,1
8506,1
8507,1
8508,1
8509,1
8510,1
8513,1
8514,1
8515,1
8516,1
8523,1
8530,1
8531,1
8535,1
8536,1
8537,1
8538,1
8539,1
8543,1
8544,1
8545,1
8546,1
8547,1
8701,1
8704,1
8709,1
8716,1
8804,1
8805,1
8908,1
9001,1
9002,1
9003,1
9004,1
9017,1
9018,1
9019,1
9020,1
9021,1
9023,1
9113,1
9201,1
9202,1
9205,1
9206,1
9207,1
9208,1
9209,1
9301,1
9302,1
9303,1
9304,1
9305,1
9306,1
9307,1
9401,1
9403,1
9404,1
9405,1
9406,1
9503,1
9504,1
9505,1
9506,1
9507,1
9508,1
9601,1
9602,1
9603,1
9604,1
9605,1
9606,1
9607,1
9608,1
9609,1
9610,1
9611,1
9612,1
9613,1
9614,1
9615,1
9616,1
9617,1
9618,1
4003,2
3704,3
3705,3
4906,3
4907,3
8407,3
8408,3
8409,3
8411,3
8412,3
8443,3
8470,3
8471,3
8472,3
8473,3
8511,3
8512,3
8517,3
8518,3
8519,3
8521,3
8522,3
8523,3
8525,3
8526,3
8527,3
8528,3
8529,3
8530,3
8531,3
8532,3
8533,3
8534,3
8536,3
8540,3
8541,3
8542,3
8543,3
8544,3
8548,3
8601,3
8602,3
8603,3
8604,3
8605,3
8606,3
8607,3
8608,3
8609,3
8701,3
8702,3
8703,3
8704,3
8705,3
8706,3
8707,3
8708,3
8710,3
8711,3
8712,3
8713,3
8714,3
8715,3
8716,3
8801,3
8802,3
8803,3
8901,3
8902,3
8903,3
8904,3
8905,3
8906,3
8907,3
9002,3
9005,3
9006,3
9007,3
9008,3
9010,3
9011,3
9012,3
9013,3
9014,3
9015,3
9016,3
9017,3
9018,3
9021,3
9022,3
9024,3
9025,3
9026,3
9027,3
9028,3
9029,3
9030,3
9031,3
9032,3
9033,3
9101,3
9102,3
9103,3
9104,3
9105,3
9106,3
9107,3
9108,3
9109,3
9110,3
9111,3
9112,3
9113,3
9114,3
9402,3
9504,3
9704,3
3706,4
4904,4
8523,4
9701,4
9702,4
9703,4
9705,4
9706,4
4901,5
4902,5
4903,5
4905,5
4908,5
4909,5
4910,5
4911,5
8442,5
8523,5
9504,5
