siret,,workforce_count,coordinates,usual_name,
53332060200014,42.21,35,44.968493,3.879866,SOVETRA
53791530800044,43.21,75,45.048023,3.910715,CEGELEC LOIRE AUVERGNE
58695026300010,43.99,75,45.283247,4.162204,SO.CO.BAT AULAGNIER
66732006300023,23.61,35,45.385336,3.268063,SARL LA SABLIERE DE CHAPPES
70203737500079,22.22,75,45.183216,4.323393,COVERIS FLEXIBLES FRANCE
31797591000280,42.11,35,44.983494,3.838676,EUROVIA DROME ARDECHE LOIRE AUVERGNE
32075953300047,22.29,35,45.040259,4.060739,BOBITECH
85520050701866,22.11,750,45.056669,3.962148,MANUF FRANC PNEUMATIQ MICHELIN
34484385900044,08.11,35,45.287476,3.194821,CARRIERES DE BLANCHON
80742730700028,22.22,35,45.069019,3.752294,MULTISAC
50164519600095,10.51,150,45.300484,3.379531,COMPAGNIE DES FROMAGES ET RICHESMONTS
50006171800028,22.21,35,45.274624,4.19142,ABI PROFILS
42104400900106,20.53,35,45.156987,4.132538,NACTIS GOURMET
47916269500056,29.32,750,45.391145,3.325341,VALEO SYSTEMES DE CONTROLE MOTEUR
58635017500053,22.22,35,45.252113,4.251819,COLLY & MARTIN
32552045000306,10.51,35,45.055187,3.966541,ENTREMONT ALLIANCE
81485663900020,13.99,35,45.308591,4.283694,LES ATELIERS PEYRACHE
34159403400017,10.83,75,45.056992,3.843673,TISANE(S)THE(S)INFUSION(S)AGRIC.BIO.BIO.
31483005000022,10.51,375,45.272232,4.115009,FROMAGERE DE LA VALLEE DE L'ANCE
58655042800047,14.19,35,45.252113,4.251819,ETABLISSEMENTS PIERRE QUIOC
33777230500021,22.21,35,45.274624,4.19142,ROCHE EMBALLAGES PLASTIQUES
41867986600552,23.61,35,45.315036,4.117244,BONNA SABLA SNC
58605007200055,38.11,35,45.252113,4.251819,POLYETHYLENE PLASTIQUE ET EXTRUSION
58655008900013,15.20,150,44.969756,4.051824,BOISSY
40137079600047,32.99,35,45.053157,3.964716,L ATELIER DU RESERVOIR
55208131766100,35.11,35,45.044215,3.87168,UNITE DE PRODUCTION CENTRE
20007341900026,10.11,35,45.081712,3.827407,ABATTOIR
39061889000011,10.13,35,45.10896,4.299741,LES MONTS DE LA ROCHE
41208222400103,10.13,35,45.148307,4.117895,BROCELIANDE - ALH
39906857600012,22.19,75,45.371236,4.200284,INTEREP
58605007200063,22.21,35,45.191781,4.199769,POLYETHYLENE PLASTIQUE ET EXTRUSION
78826729200043,10.39,75,44.958891,3.580262,BORDE SA
78967416500012,13.96,35,45.038414,3.869536,FONTANILLE SCOP
58685028100013,13.96,225,45.34281,4.311634,SATAB
43484474200016,10.11,35,44.896183,3.849109,MEJEAN PERE & FILS
33944378000038,28.96,35,45.254798,4.268072,SAS MONDON
38052465200043,22.21,35,45.205028,4.044991,PROPYPLAST
55213445400057,22.22,150,45.310127,4.284509,UNION PLASTIC
79941373700021,25.12,35,45.221486,4.347405,NERGECO PRODUCTION
34472970200045,32.13,35,45.19935,3.500666,BEAUREGARD
33301902400012,22.22,35,45.035761,4.05396,CHAPTEUIL PLASTIC
48376513700011,10.71,35,45.335355,3.853762,LES DESSERTS DU VELAY
44900078500013,10.13,35,45.074147,3.472053,SALAISON DU VAL D'ALLIER
58605007200030,22.21,225,45.274624,4.19142,POLYETHYLENE PLASTIQUE ET EXTRUSION
58565009600027,10.61,75,45.052548,3.963286,CELNAT
41827470000016,26.12,35,45.047376,4.244995,ELECTRONIQUE DU MAZET
34183283000036,13.96,35,45.34281,4.311634,STYLE JACQUARD
53873512700010,10.13,35,45.273978,3.395261,SALAISONS PHILIS
64568002600236,10.20,35,45.32783,3.366152,DELPEYRAT
40114823400040,18.13,35,45.252113,4.251819,G'IMPRIM
38975873100019,10.13,150,45.231442,4.138938,SOUCHON D'AUVERGNE
32121233400015,10.11,35,45.297666,3.394361,SOC EXPL ABATTOIR DE BRIOUDE
49344210700014,22.22,35,45.232045,4.405502,ALPROD
39338298100016,22.22,35,45.24358,4.232753,GRANGER FRERES
58705036000011,25.11,150,44.983594,3.838676,GAGNE
31291390800025,25.11,35,45.053877,3.962914,ETABLISSEMENTS CHAZALLON
43473109700011,22.22,75,45.355086,3.952658,VELFOR EMBALLAGE
58595029800018,17.21,150,45.046642,3.862567,CREAPRINT
37980335600029,28.41,35,45.411437,3.318692,CCMOP DE STA CO BLEICHER
58635034000012,25.94,35,45.215473,4.343295,ETABLISSEMENTS VIAL FRERES
38833281900043,32.99,35,45.015069,3.899533,CIERGERIE DU SUD EST
58645003300038,22.22,35,45.245706,4.230417,STTP EMBALLAGE
32589362600029,10.13,35,45.312041,4.28446,ETABLISSEMENTS MASSARDIER
